Category 2	Category 2	Category 1	Category 1	
Variable 1	Variable 2	Variable 1	Variable 2	
-1.754983319	1.044635885	0.6378674402	0.125997469	
-1.044635885	-0.125997469	0.5136350421	1.754983319	
-0.6773069379	0.125997469	0.2979492277	-1.754983319	
-0.386499193	0.6773069379	1.696660637	-0.6773069379	
-0.125997469	-0.6773069379	3.267169268	0.386499193	
0.125997469	-0.386499193	1.246344704	-0.386499193	
0.386499193	-1.044635885	0.1725309988	0.6773069379	
0.6773069379	-1.754983319	0.4034971234	-0.125997469	
1.044635885	0.386499193	0.9775795636	-1.044635885	
1.754983319	1.754983319	0.7867659948	1.044635885	

